sentence,睿智,狂野,活力,佛系,浪漫,善良,幽默
是喔，那好硬喔,11,10,14,11,10,10,13
你看起來很ok啊很苗條,11,10,14,11,10,10,13
很正常，不過我是先瘦,11,10,14,11,10,10,13
然後因為我又省著吃，後來才慢慢變胖。,11,10,14,11,10,10,13
對而且外食都很油，對真的,11,10,14,11,10,10,13
所以我現在有時候都會自己煮,11,10,14,11,10,10,13
對，我現在住外面。我以前住三創,11,10,14,11,10,10,13
就是三創書院，但因為我還是比較喜歡一個人住，比較自由一點點，所以就搬到外面去,11,10,14,11,10,10,13
恩會稍微，還在學啦,11,10,14,11,10,10,13
但是我覺得做起來還算輕鬆,11,10,14,11,10,10,13
就我自己不會覺得很難,11,10,14,11,10,10,13
我跟我室友…我們算住家庭式,11,10,14,11,10,10,13
所以你認識黃室諭嗎？,11,10,14,11,10,10,13
因為他是我之前畢聯會的公關部的朋友,11,10,14,11,10,10,13
蛤海豚？為什麼？,11,10,14,11,10,10,13
會轉彎的白海豚,11,10,14,11,10,10,13
笑爛,11,10,14,11,10,10,13
我覺得他滿可愛的,11,10,14,11,10,10,13
瘋瘋的,11,10,14,11,10,10,13
啊你怎麼今天會想來跑這個活動,11,10,14,11,10,10,13
哈是喔,11,10,14,11,10,10,13
也算是，被邀請的,11,10,14,11,10,10,13
恩對我也是被找過來玩的,11,10,14,11,10,10,13
幾乎都企管系的喔？,11,10,14,11,10,10,13
嗯嗯我好像有看到一個我認識的,11,10,14,11,10,10,13
之前跑乾燥劑認識的志工,11,10,14,11,10,10,13
但我忘記他的名字,11,10,14,11,10,10,13
沒關係沒關係之後再聯絡,11,10,14,11,10,10,13
我也不知道欸,11,10,14,11,10,10,13
獅子算是嗎？,11,10,14,11,10,10,13
獅子不是企管系的嗎？,11,10,14,11,10,10,13
因為我感覺她是精心打扮的,11,10,14,11,10,10,13
感覺他很像是那種會真的想要來跑的,11,10,14,11,10,10,13
是喔？然後就很害羞地跑掉嗎？,11,10,14,11,10,10,13
幹是喔！,11,10,14,11,10,10,13
好巧喔,11,10,14,11,10,10,13
所以你平常的興趣是什麼,11,10,14,11,10,10,13
美劇？,11,10,14,11,10,10,13
沒空看？,11,10,14,11,10,10,13
所以你以前都看什麼？黑鏡喔？,11,10,14,11,10,10,13
你喜歡看懸疑片？！我是喜歡看驚悚片,11,10,14,11,10,10,13
對啊對啊,11,10,14,11,10,10,13
是喔！我之前有聽過，想看，但一直都沒看。,11,10,14,11,10,10,13
你之後再推薦我好了,11,10,14,11,10,10,13
因為我很想看懸疑美劇,11,10,14,11,10,10,13
但是我自己的習慣是有時候都懶得..就是沒空看啦，不然我其實滿想看的,11,10,14,11,10,10,13
因為一次都要一小…,11,10,14,11,10,10,13
所以平常除了看美劇，還有嗎？,11,10,14,11,10,10,13
喔∼打排球？,11,10,14,11,10,10,13
所以你是系隊的,11,10,14,11,10,10,13
最近是不是在比賽？,11,10,14,11,10,10,13
我國小以前…,11,10,14,11,10,10,13
我通常會講我新北人啦,11,10,14,11,10,10,13
但講細一點我之前是住在雲林，是到後面才搬到台北,11,10,14,11,10,10,13
我以前是給阿公阿罵帶大的，就是在田間就是跑啊，都不穿拖鞋,11,10,14,11,10,10,13
你知道雲林在哪嗎,11,10,14,11,10,10,13
幹，你知道我超多人都不知道雲林在哪,11,10,14,11,10,10,13
我不知道啊,11,10,14,11,10,10,13
我之前遇過最扯：「蛤？雲林不是在嘉義裡面嗎」,11,10,14,11,10,10,13
對！超過份！,11,10,14,11,10,10,13
所以你哪裡人？,11,10,14,11,10,10,13
桃園？,11,10,14,11,10,10,13
然後我之前有一個朋友，就是高鐵站嘛，他永遠都會忘記桃園站,11,10,14,11,10,10,13
比方說新竹站，喔喔下一站式板橋,11,10,14,11,10,10,13
真的喔雲林哪邊人啊,11,10,14,11,10,10,13
噢∼我是在雲林的最偏鄉，什麼麥寮，六輕那邊,11,10,14,11,10,10,13
就是以前真的很偏,11,10,14,11,10,10,13
以前我媽是台北，我爸那時候還住在雲林,11,10,14,11,10,10,13
我媽都說：「你不知道喔，我第一次下去的時候，整條路都是沒有柏油路，整個都是沙塵暴，」,11,10,14,11,10,10,13
因為我們冬天那邊海岸線，冬被季風下來，都會風吹砂,11,10,14,11,10,10,13
「乾整條路都是黃黃的，然後四周都沒路燈，只有木麻黃...」,11,10,14,11,10,10,13
對啊對啊,11,10,14,11,10,10,13
我叫做...嗷嗷嗷就算了...白海豹,11,10,14,11,10,10,13
然後我現在讀材料系大三,11,10,14,11,10,10,13
喔個性喔,11,10,14,11,10,10,13
"我個性還蠻佛系的…就是逆來順受這樣,,,然後很隨意這樣",11,10,14,11,10,10,13
我是比較偏隨性的人拉,11,10,14,11,10,10,13
因為可能以前拘束慣了..所以來台南沒人管就很隨性這樣,11,10,14,11,10,10,13
然後..然後算健談吧我覺得,11,10,14,11,10,10,13
我很喜歡青蘇鞥事務,11,10,14,11,10,10,13
所以我很喜歡旅遊啊或是逛街啊,11,10,14,11,10,10,13
我比較愛碰的事情是行銷啊,11,10,14,11,10,10,13
雖然我自己是理工科拉,11,10,14,11,10,10,13
對但是我比較想走的是行銷關公這塊,11,10,14,11,10,10,13
然後旅遊的話台灣很多好玩的地方都跑過了,11,10,14,11,10,10,13
國外…國外是大學才比較常跑,11,10,14,11,10,10,13
大概就是跑過幾個國家這樣子,11,10,14,11,10,10,13
不過比較偏歐美拉,11,10,14,11,10,10,13
我只有兩次跟團 一次是日本 一次是柬埔寨跟越南,11,10,14,11,10,10,13
好差不多,11,10,14,11,10,10,13
會緊張是不是哈哈,11,10,14,11,10,10,13
放輕鬆,11,10,14,11,10,10,13
可以吧,11,10,14,11,10,10,13
對其實..但是我媽之前有去算命,11,10,14,11,10,10,13
然後算命的阿公..你聽得懂台語媽,11,10,14,11,10,10,13
跟你兒子說拉,11,10,14,11,10,10,13
不要再胡思亂想了好好讀材料,11,10,14,11,10,10,13
對對哈哈,11,10,14,11,10,10,13
感覺你也滿佛系的,11,10,14,11,10,10,13
不太敢去跟人家argue,11,10,14,11,10,10,13
算是,11,10,14,11,10,10,13
恩恩恩,11,10,14,11,10,10,13
我也覺得攝影很好玩,11,10,14,11,10,10,13
嗯嗯對,11,10,14,11,10,10,13
排球隊…先猜哈哈..因為剛剛他也是排球隊,11,10,14,11,10,10,13
都膩在一起  好閨蜜,11,10,14,11,10,10,13
攝影喔對 我之前也是滿愛攝影,11,10,14,11,10,10,13
因為我自己身邊也是滿多朋友玩攝影,11,10,14,11,10,10,13
有點算是..有一部分就是沒時間,11,10,14,11,10,10,13
然後有時候覺得帶相機好大台喔,11,10,14,11,10,10,13
對所以後來我比較偏向手機攝影比較多,11,10,14,11,10,10,13
人後就是設影玩修圖,11,10,14,11,10,10,13
有什麼想要了解嗎,11,10,14,11,10,10,13
還是我就隨便開囉？,11,10,14,11,10,10,13
所以你愛出去玩媽,11,10,14,11,10,10,13
咦所以你是哪裡人啊,11,10,14,11,10,10,13
喔我以前待雲林 然後後來搬到台北,11,10,14,11,10,10,13
算一半的鄉下小孩啦,11,10,14,11,10,10,13
對所以台語算小6,11,10,14,11,10,10,13
因為我都跟別人講我是田僑子,11,10,14,11,10,10,13
因為我們家是真的有土地的那種,11,10,14,11,10,10,13
然後有佃農 就是別人要跟我們租地,11,10,14,11,10,10,13
雖然只有一塊而已,11,10,14,11,10,10,13
就一塊而已,11,10,14,11,10,10,13
而且我們那邊太窮了 我們在麥寮,11,10,14,11,10,10,13
然後那邊地都很便宜,11,10,14,11,10,10,13
然後你有跑過哪些攝影的點,11,10,14,11,10,10,13
或你覺得比較好拍的,11,10,14,11,10,10,13
所以你有走過那個媽,11,10,14,11,10,10,13
我覺得看海最棒的地方就是東部,11,10,14,11,10,10,13
尤其是我推一個點,11,10,14,11,10,10,13
是那個..欸你有走過南迴嗎,11,10,14,11,10,10,13
下次有機會一定要走南迴,11,10,14,11,10,10,13
其實我覺得騎機車比坐火車還要好,11,10,14,11,10,10,13
但其實很累,11,10,14,11,10,10,13
六小時,11,10,14,11,10,10,13
我騎過,11,10,14,11,10,10,13
因為我其實上學習有休過學,11,10,14,11,10,10,13
就是我是到很後面才休,11,10,14,11,10,10,13
因為很多東西不是我喜歡的,11,10,14,11,10,10,13
然後我想說幹反正也休學了,11,10,14,11,10,10,13
也沒什麼心力想要讀書幹嘛的,11,10,14,11,10,10,13
所以想說都到這邊了,11,10,14,11,10,10,13
那去台東好了,11,10,14,11,10,10,13
我真的很愛台東 真的很愛台東,11,10,14,11,10,10,13
而且我很想去那邊衝浪,11,10,14,11,10,10,13
以前都搭火車,11,10,14,11,10,10,13
那次我們就騎機車,11,10,14,11,10,10,13
多良到津風,11,10,14,11,10,10,13
台東有一個滿南邊的地方叫金峰,11,10,14,11,10,10,13
超漂亮,11,10,14,11,10,10,13
因為他整排下去就是海,11,10,14,11,10,10,13
因為你可以隨時停然後下來拍照,11,10,14,11,10,10,13
對可惜我相機沒帶,11,10,14,11,10,10,13
不然我可以拿照片給你看,11,10,14,11,10,10,13
台東我真的很愛去,11,10,14,11,10,10,13
那邊我很推,11,10,14,11,10,10,13
然後再來就是花蓮,11,10,14,11,10,10,13
噢騎機車 喔會死,11,10,14,11,10,10,13
如果騎到台東…我大概從早上六點開騎,11,10,14,11,10,10,13
然後騎到那邊可能下午三四點,11,10,14,11,10,10,13
會真的很累,11,10,14,11,10,10,13
因為我去年買車,11,10,14,11,10,10,13
買車完之後我就到處亂跑,11,10,14,11,10,10,13
台東也跑阿里山也跑墾丁也跑,11,10,14,11,10,10,13
對我都做扯事哈哈,11,10,14,11,10,10,13
回來就虛脫,11,10,14,11,10,10,13
就是常常幹蠢事,11,10,14,11,10,10,13
我就是很喜歡騎機車出去,11,10,14,11,10,10,13
有趣的恐龍…,11,10,14,11,10,10,13
可能是因為有那隻恐龍玩偶啦,11,10,14,11,10,10,13
啊我也是因為有那隻海豹,11,10,14,11,10,10,13
因為我幫他配音他都會先嗷嗷嗷,11,10,14,11,10,10,13
而且你有聽過海豹的叫聲嗎,11,10,14,11,10,10,13
他就是嗷嗷叫,11,10,14,11,10,10,13
對他就是嗷，只是聲音是很粗的嗷嗷嗷,11,10,14,11,10,10,13
好那我先自介,11,10,14,11,10,10,13
我是現在讀...欸？你們會講系級嗎，還是不會講,11,10,14,11,10,10,13
沒關係那我就不講好了,11,10,14,11,10,10,13
然後我的個性就比較樂天隨性，對我比較佛系一點點，然後是個轉變期啦，因為到大學我比較…因為自由了你知道嗎,11,10,14,11,10,10,13
因為脫離了爸媽的掌控，然後以前又很無聊，所以就一到大學就有點比較奔放浪漫派一點,11,10,14,11,10,10,13
對然後之後我應該會比較就是，算拘謹媽可能也還好，算了，反正做事上面可能會比較拘謹，可是反正我現在就是一個比較隨性的人，對然後我就很喜歡弄莫名其妙、沒有計畫好的旅行,11,10,14,11,10,10,13
對就是說走就走的那種,11,10,14,11,10,10,13
我比較常自己一個人,11,10,14,11,10,10,13
跟人會提前約啦，但是自己去的話就不用約，就直接走了,11,10,14,11,10,10,13
對直接走，然後我還蠻愛聽音樂的，然後之前就有跳過舞，我之前是有練ｐｏｐｐｉｎｇ這樣,11,10,14,11,10,10,13
然後我現在比較常聽的音樂就ｈｉｐｈｏｐ嘻哈啦,11,10,14,11,10,10,13
就之前就聽中國有嘻哈阿，然後後面就去聽，就嘻哈阿，跟獨立樂團,11,10,14,11,10,10,13
然後現在最愛就，應該大家最愛就茄子蛋了,11,10,14,11,10,10,13
對茄子蛋，還有康世楷的變化球,11,10,14,11,10,10,13
對對對大概就這幾首,11,10,14,11,10,10,13
還有甚麼啊？哦然後我自己平常比較愛做的事可能就是騎車兜風出去阿，或者我還蠻喜歡逛街的阿，然後有時候可能會看一下影集阿、電影之類的,11,10,14,11,10,10,13
大概差不多就這樣子,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
幹話很多,11,10,14,11,10,10,13
跟我一樣∼對,11,10,14,11,10,10,13
然後你室友就這樣,11,10,14,11,10,10,13
呵呵呵∼好可憐喔,11,10,14,11,10,10,13
我朋友更慘，我朋友是那種他覺得好笑的笑出來，然後我們通常是會先忍一下，然後才會笑，因為真的是廢到笑,11,10,14,11,10,10,13
太廢你知道嗎，然後就是你忍到一個極致，你就會覺得幹這個人怎麼講話那麼無言…,11,10,14,11,10,10,13
然後就會笑,11,10,14,11,10,10,13
真的喔,11,10,14,11,10,10,13
所以你很愛收集娃娃,11,10,14,11,10,10,13
欸？所以你們最近是要辦甚麼活動,11,10,14,11,10,10,13
哦哦哦,11,10,14,11,10,10,13
哦∼,11,10,14,11,10,10,13
我的娃娃跟了我，哦我有三隻元老級的,11,10,14,11,10,10,13
沒有沒有，有一隻是狗，狗大概幼稚園就有了,11,10,14,11,10,10,13
然後海豹大概是從國小吧,11,10,14,11,10,10,13
到現在到現在，對到現在,11,10,14,11,10,10,13
還有一隻是那個熊貓，欸是熊貓嗎？哦不是，是北極熊,11,10,14,11,10,10,13
不過那個比較近啦，那是在高中的時候買的，然後之後…哦我家裡娃娃也是蠻多的，以前很喜歡那種毛茸茸的東西,11,10,14,11,10,10,13
很療癒超療癒,11,10,14,11,10,10,13
對對對,11,10,14,11,10,10,13
哦真的哦,11,10,14,11,10,10,13
北極熊是標配阿，大家都很愛北極熊,11,10,14,11,10,10,13
不然就企鵝,11,10,14,11,10,10,13
真的真的真的,11,10,14,11,10,10,13
哦∼,11,10,14,11,10,10,13
欸？所以你是靠繪畫讓自己靜下心來？,11,10,14,11,10,10,13
因為我也有這種靜不下來的問題,11,10,14,11,10,10,13
哦就是老師可能會說「欸某某媽媽∼可能請你要過來一趟，妳女兒又幹嘛了」的那種,11,10,14,11,10,10,13
就畫習慣了,11,10,14,11,10,10,13
所以你讀書前你會先畫畫嗎,11,10,14,11,10,10,13
上課的時候會畫,11,10,14,11,10,10,13
哦就是把古人畫成什麼東西這樣子,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
所以你會看鄉民的三國志嗎,11,10,14,11,10,10,13
哦現在比較少看,11,10,14,11,10,10,13
哦我之前很愛看那種配音片,11,10,14,11,10,10,13
對很好笑,11,10,14,11,10,10,13
對阿對阿然後一直笑,11,10,14,11,10,10,13
哦∼,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
蛤∼,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
哦好扯喔,11,10,14,11,10,10,13
嗯嗯,11,10,14,11,10,10,13
要練甚麼？,11,10,14,11,10,10,13
哦哦　起不來,11,10,14,11,10,10,13
才不想要早起,11,10,14,11,10,10,13
而且夜晚冷死了,11,10,14,11,10,10,13
對真的,11,10,14,11,10,10,13
嗯嗯∼,11,10,14,11,10,10,13
欸？所以你是哪裡人啊,11,10,14,11,10,10,13
屏東喔喔,11,10,14,11,10,10,13
我也是南部人，沒有我算鄉下小孩啦,11,10,14,11,10,10,13
對因為我之前是在雲林待到國小，在麥寮那邊，我以前是給我阿公阿嬤帶大的,11,10,14,11,10,10,13
然後後來才被我爸媽帶回去，帶到台北,11,10,14,11,10,10,13
哦是哦,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
屏東，所以你是住屏東哪裡啊,11,10,14,11,10,10,13
哦哦潮州，有聽過,11,10,14,11,10,10,13
我記得潮州還好,11,10,14,11,10,10,13
阿你們那邊都種甚麼阿,11,10,14,11,10,10,13
你們家是真的有在務農的喔,11,10,14,11,10,10,13
哦幹跟我們家好像,11,10,14,11,10,10,13
嗯嗯嗯嗯,11,10,14,11,10,10,13
我們以前是，我阿嬤以前，反正就是我們那邊甚麼都種，就是土豆也種，然後稻米以前也會，然後以前就是要幫忙把那個稻殼打掉,11,10,14,11,10,10,13
對然後，而且曬稻米很討厭，就是你幫忙曬過之後你全身都會很癢,11,10,14,11,10,10,13
對然後還有種過甚麼啊？紅蘿蔔也有種、菜瓜也有種，對阿，然後現在都在種松樹，羅漢松,11,10,14,11,10,10,13
前陣子好像政府都在，就是你標的土地都拿來種樹，所以我們現在都在種樹,11,10,14,11,10,10,13
對對對，然後剩下的田就拿去給別人種東西,11,10,14,11,10,10,13
哦沒有，我獨生子,11,10,14,11,10,10,13
對,11,10,14,11,10,10,13
還行啦∼假如論金錢利益、就是物質那方面是很幸福,11,10,14,11,10,10,13
沒人跟你搶,11,10,14,11,10,10,13
所以他們都用你穿過的東西嗎,11,10,14,11,10,10,13
這差距很大欸,11,10,14,11,10,10,13
嗯∼,11,10,14,11,10,10,13
妳妹以後會不會跟你講小玉,11,10,14,11,10,10,13
姐姐你看∼放火欸好帥喔！,11,10,14,11,10,10,13
好,9,7,11,11,8,13,10
逛街喔？真的假的！,9,7,11,11,8,13,10
好換我，我是企管大二,9,7,11,11,8,13,10
我喜歡打排球，我平常都會練球,9,7,11,11,8,13,10
我這個寒假要去海外志工,9,7,11,11,8,13,10
festa,9,7,11,11,8,13,10
是去菲律賓,9,7,11,11,8,13,10
你有去過喔？,9,7,11,11,8,13,10
啊你有遇到什麼事嗎？,9,7,11,11,8,13,10
就是比較特別的事情,9,7,11,11,8,13,10
我原本要那個欸,9,7,11,11,8,13,10
你是去德國？,9,7,11,11,8,13,10
啊就在抗議？,9,7,11,11,8,13,10
喔所以只是換個地方抗議？,9,7,11,11,8,13,10
幫他們抗議？,9,7,11,11,8,13,10
喔因為我是去菲律賓，是要去蓋房子跟那個...陪小朋友玩,9,7,11,11,8,13,10
對因為我學姊有去過，他說還不錯,9,7,11,11,8,13,10
就..其實我也..不是木屋欸是水泥那種,9,7,11,11,8,13,10
不知道，可是他們所還不錯,9,7,11,11,8,13,10
會瘦,9,7,11,11,8,13,10
偷偷告訴你，我來成大已經胖了5公斤了,9,7,11,11,8,13,10
台南東西太好吃了,9,7,11,11,8,13,10
對，超級油的,9,7,11,11,8,13,10
喔所以你住外面？,9,7,11,11,8,13,10
喔你會煮飯喔？,9,7,11,11,8,13,10
所以你是一個人住？沒有跟別人一起？,9,7,11,11,8,13,10
所以是一個人一間,9,7,11,11,8,13,10
哈哈你怎麼知道,9,7,11,11,8,13,10
喔黃世裕喔？海豚,9,7,11,11,8,13,10
我們都叫他海豚,9,7,11,11,8,13,10
對對對之類的，因為他那時候自我介紹的時候他說我是可以騎海豚來台灣之類的,9,7,11,11,8,13,10
大家都叫他海豚,9,7,11,11,8,13,10
喔對啊,9,7,11,11,8,13,10
呵呵，別人找的,9,7,11,11,8,13,10
你也是被找的嗎,9,7,11,11,8,13,10
喔所以你也被找的，來玩的？,9,7,11,11,8,13,10
我們也是被找的,9,7,11,11,8,13,10
這邊女生都被找的,9,7,11,11,8,13,10
很多,9,7,11,11,8,13,10
幾乎都企管系的,9,7,11,11,8,13,10
誰啊誰啊,9,7,11,11,8,13,10
我應該不能講齁？,9,7,11,11,8,13,10
所以好像很多人都是被找的,9,7,11,11,8,13,10
獅子喔？我也不知道,9,7,11,11,8,13,10
因為我們剛才在樓下都是企管的,9,7,11,11,8,13,10
應該不是吧,9,7,11,11,8,13,10
剛剛有個男生跑錯地方,9,7,11,11,8,13,10
超尷尬的…呃不是超尷尬的，超扯的是他之前是我耶舞的舞伴，超尷尬的,9,7,11,11,8,13,10
超尷尬的,9,7,11,11,8,13,10
我超喜歡追美劇的,9,7,11,11,8,13,10
可是我最近..,9,7,11,11,8,13,10
也不是沒空啦，對啦最近比較忙,9,7,11,11,8,13,10
喔我沒有看黑鏡，我有看一集，可是我不喜歡所以我就沒注意看。,9,7,11,11,8,13,10
我喜歡看懸疑片,9,7,11,11,8,13,10
懸疑驚悚差不多吧,9,7,11,11,8,13,10
我超喜歡sense8,9,7,11,11,8,13,10
好,9,7,11,11,8,13,10
對啊,9,7,11,11,8,13,10
40分鐘..一小時,9,7,11,11,8,13,10
排球！,9,7,11,11,8,13,10
系隊的,9,7,11,11,8,13,10
我們是下下禮拜,9,7,11,11,8,13,10
可能醫學系他們才是這禮拜,9,7,11,11,8,13,10
可能醫學盃啊,9,7,11,11,8,13,10
欸那你哪裡人啊,9,7,11,11,8,13,10
國小以前 xＤ,9,7,11,11,8,13,10
我知道啊我知道啊,9,7,11,11,8,13,10
為什?？,9,7,11,11,8,13,10
不是雲嘉南嗎？,9,7,11,11,8,13,10
台北人吧？,9,7,11,11,8,13,10
台北人每次都說台北以下都是南部,9,7,11,11,8,13,10
桃園,9,7,11,11,8,13,10
欸我媽也是雲林人欸,9,7,11,11,8,13,10
斗六,9,7,11,11,8,13,10
喔我知道,9,7,11,11,8,13,10
可是現在還是很偏僻,9,7,11,11,8,13,10
自助嗎,9,7,11,11,8,13,10
哈哈哈,9,7,11,11,8,13,10
我是想睡的樹懶,9,7,11,11,8,13,10
然後…然後是可以講系級的嗎？,9,7,11,11,8,13,10
我是企管大二,9,7,11,11,8,13,10
感覺你其實滿適合讀企管系的,9,7,11,11,8,13,10
恩恩恩,9,7,11,11,8,13,10
就指名材料媽？哇！,9,7,11,11,8,13,10
然後我的個性也是逆來…就是我不太會去跟人家吵架那種,9,7,11,11,8,13,10
就會說什麼感覺我很好欺負,9,7,11,11,8,13,10
就是我不太敢去…呃..,9,7,11,11,8,13,10
也算是像缺點的一種吧,9,7,11,11,8,13,10
最近比較有興趣的是攝影吧,9,7,11,11,8,13,10
但是就是我最近在存錢想要買一台自己的相機,9,7,11,11,8,13,10
因為之前可能活度有接觸到覺得還滿好玩的,9,7,11,11,8,13,10
"我覺得就是像那種到處去沒去過的地方..然後拍拍照,,很好玩",9,7,11,11,8,13,10
然後平常滿常運動的 就可能去打球,9,7,11,11,8,13,10
對,9,7,11,11,8,13,10
喔對其實我們兩個算是好朋友拉,9,7,11,11,8,13,10
對就是上課打球都會常遇到,9,7,11,11,8,13,10
喔對有點麻煩其實,9,7,11,11,8,13,10
恩滿喜歡的,9,7,11,11,8,13,10
我是南投人,9,7,11,11,8,13,10
喔對我剛剛想問你哪裡人,9,7,11,11,8,13,10
喔對我剛剛想說你會講台語,9,7,11,11,8,13,10
窩∼∼,9,7,11,11,8,13,10
恩…,9,7,11,11,8,13,10
我沒有特訂覺得哪個點特別好拍拉,9,7,11,11,8,13,10
但是我特別喜歡去海邊,9,7,11,11,8,13,10
因為我喜歡看海,9,7,11,11,8,13,10
對！東部的海真的很漂亮,9,7,11,11,8,13,10
但是就是不好到,9,7,11,11,8,13,10
沒有我都從北部過去,9,7,11,11,8,13,10
你說直接騎過去嗎,9,7,11,11,8,13,10
天阿,9,7,11,11,8,13,10
喔好好喔,9,7,11,11,8,13,10
天啊好累喔,9,7,11,11,8,13,10
你都直接騎機車到媽,9,7,11,11,8,13,10
好扯喔,9,7,11,11,8,13,10
嗨,9,7,11,11,8,13,10
好阿你先,9,7,11,11,8,13,10
恩,9,7,11,11,8,13,10
喔~,9,7,11,11,8,13,10
恩~像是甚麼事?,9,7,11,11,8,13,10
恩恩,9,7,11,11,8,13,10
恩~,9,7,11,11,8,13,10
恩,9,7,11,11,8,13,10
嗯嗯嗯,9,7,11,11,8,13,10
嗯嗯,9,7,11,11,8,13,10
讀書哈哈哈哦~,9,7,11,11,8,13,10
我是寫說我叫想睡的樹懶啦，對，ㄜ就其實我不太知道自己的形象像甚麼動物,9,7,11,11,8,13,10
只是就剛好我問的人，那天就剛好你有看過那個動物方程式嗎?,9,7,11,11,8,13,10
對那個人就剛好川穿墨綠色的襯衫,9,7,11,11,8,13,10
然後剛好那天我也穿墨綠色的襯衫，他就說我長得很像,9,7,11,11,8,13,10
然後他就找圖片給我看說ㄟ你跟他穿一樣ㄟ,9,7,11,11,8,13,10
然後我那時候就覺得對 喔好阿就寫樹懶好了,9,7,11,11,8,13,10
對 然後，我平常，就其實我也是蠻喜歡嘗試很多東西的,9,7,11,11,8,13,10
其實我對攝影蠻有興趣的,9,7,11,11,8,13,10
對 但是就，ㄜ因為我很想有自己的相機但是就還沒有買，所以就還沒有進到這個,9,7,11,11,8,13,10
對阿但是就很有興趣所以有時候活動會主動去接相關的部門,9,7,11,11,8,13,10
對對對類似這樣，然後平常有參加就是 系上的系隊之類的,9,7,11,11,8,13,10
就是，對,9,7,11,11,8,13,10
排球，對因為我不太會打籃球，有點恐怖，會有很多,9,7,11,11,8,13,10
對對對對，就直接身體撞來撞去的我覺得很可怕,9,7,11,11,8,13,10
感覺要高一點比較，比較有優勢,9,7,11,11,8,13,10
喔也是啦，其實我沒有就是在學校跟女生打過籃球,9,7,11,11,8,13,10
恩恩,9,7,11,11,8,13,10
哦,9,7,11,11,8,13,10
對阿，有很多衝撞的那種,9,7,11,11,8,13,10
系橄好玩嗎,9,7,11,11,8,13,10
完全不知道哈哈哈,9,7,11,11,8,13,10
對對對 剛好剛好,9,7,11,11,8,13,10
好恐怖喔,9,7,11,11,8,13,10
哦哦哦哦,9,7,11,11,8,13,10
是要戴那種 很重的那個護罩嗎,9,7,11,11,8,13,10
嗯嗯,9,7,11,11,8,13,10
喔喔喔,9,7,11,11,8,13,10
那學校就是 那個場地在哪裡啊,9,7,11,11,8,13,10
喔~也在自強,9,7,11,11,8,13,10
喔喔喔,9,7,11,11,8,13,10
嗯嗯嗯哦,9,7,11,11,8,13,10
